,overall,,,,,,,,,,,,,,,,,,,,
,575760,0.47,0.58,0.48,0.48,0.47,0.33,0.90,0.42,0.51,0.40,0.70,0.38,0.50,0.55,0.42,0.43,0.50,0.09,0.33,0.70
,585660,0.50,0.52,0.42,0.47,0.48,0.40,0.64,0.42,0.58,0.41,0.92,0.38,0.45,0.50,0.52,0.42,0.50,0.07,0.38,0.64
,,,,,,,,,,,,,,,,,,,,,
,low frequency,,,,,,,,,,,,,,,,,,,,
,,556014,556033,556505,559838,563118,565631,575760,578085,578698,581952,585660,589028,592117,592166,594939,597515,mean,sd,min,max
predictors,597515,0.85,0.68,0.69,0.78,0.90,0.73,0.43,0.81,0.77,0.77,0.63,0.77,0.75,0.70,0.90,1.00,0.76,0.12,0.43,0.90
,563118,0.80,0.63,0.69,0.76,0.98,0.73,0.37,0.78,0.75,0.78,0.64,0.77,0.73,0.67,0.87,0.88,0.74,0.12,0.37,0.88
,556014,0.98,0.70,0.71,0.73,0.82,0.70,0.44,0.74,0.70,0.75,0.64,0.77,0.73,0.63,0.78,0.87,0.73,0.10,0.44,0.87
,594939,0.77,0.63,0.64,0.73,0.88,0.68,0.41,0.74,0.80,0.72,0.68,0.70,0.72,0.69,0.97,0.87,0.73,0.11,0.41,0.88
,589028,0.75,0.55,0.78,0.80,0.77,0.87,0.33,0.81,0.67,0.85,0.54,0.97,0.77,0.61,0.75,0.78,0.72,0.14,0.33,0.87
,581952,0.75,0.58,0.69,0.76,0.78,0.78,0.33,0.83,0.67,0.97,0.59,0.82,0.73,0.65,0.77,0.78,0.72,0.13,0.33,0.83
,592117,0.73,0.60,0.74,0.71,0.73,0.73,0.43,0.76,0.73,0.73,0.59,0.78,0.97,0.67,0.75,0.77,0.71,0.09,0.43,0.78
,578085,0.72,0.62,0.74,0.73,0.77,0.72,0.39,0.98,0.67,0.80,0.56,0.75,0.73,0.69,0.75,0.80,0.71,0.11,0.39,0.80
,565631,0.70,0.55,0.78,0.78,0.73,0.97,0.33,0.78,0.63,0.82,0.53,0.87,0.73,0.63,0.73,0.75,0.71,0.14,0.33,0.87
,559838,0.72,0.55,0.72,0.95,0.77,0.77,0.35,0.76,0.63,0.78,0.58,0.78,0.72,0.63,0.75,0.78,0.70,0.12,0.35,0.78
,578698,0.67,0.65,0.59,0.64,0.78,0.63,0.43,0.69,0.98,0.67,0.66,0.67,0.70,0.70,0.83,0.78,0.69,0.09,0.43,0.83
,556505,0.68,0.48,0.97,0.69,0.65,0.75,0.35,0.74,0.58,0.67,0.51,0.77,0.72,0.56,0.63,0.67,0.65,0.11,0.35,0.77
,556033,0.68,0.97,0.48,0.58,0.67,0.53,0.57,0.66,0.67,0.60,0.63,0.53,0.58,0.67,0.65,0.72,0.64,0.07,0.48,0.72
,592166,0.60,0.63,0.55,0.61,0.65,0.58,0.46,0.66,0.68,0.60,0.49,0.58,0.63,0.96,0.65,0.67,0.63,0.06,0.46,0.68
,585660,0.62,0.58,0.52,0.56,0.63,0.50,0.59,0.55,0.63,0.57,1.00,0.52,0.57,0.50,0.63,0.62,0.60,0.05,0.50,0.63
,575760,0.40,0.50,0.33,0.32,0.35,0.30,0.94,0.38,0.38,0.32,0.58,0.30,0.38,0.44,0.37,0.40,0.42,0.08,0.30,0.58
,,,,,,,,,,,,,,,,,,,,,
,nonce,,,,,,,,,,,,,,,,,,,,
,,556014,556033,556505,559838,563118,565631,575760,578085,578698,581952,585660,589028,592117,592166,594939,597515,mean,sd,min,max
predictors,597515,0.78,0.60,0.68,0.88,0.80,0.73,0.35,0.76,0.73,0.73,0.57,0.73,0.80,0.60,0.85,1.00,0.73,0.13,0.35,0.88
,563118,0.75,0.58,0.70,0.80,1.00,0.68,0.35,0.76,0.77,0.72,0.62,0.68,0.77,0.53,0.82,0.80,0.71,0.12,0.35,0.82
,592117,0.80,0.56,0.67,0.75,0.77,0.67,0.37,0.78,0.73,0.70,0.62,0.68,1.00,0.65,0.78,0.80,0.71,0.11,0.37,0.80
,559838,0.73,0.55,0.70,1.00,0.80,0.75,0.39,0.76,0.68,0.70,0.57,0.75,0.75,0.53,0.77,0.88,0.71,0.13,0.39,0.88
,556014,1.00,0.58,0.70,0.73,0.75,0.68,0.43,0.71,0.72,0.67,0.52,0.68,0.80,0.60,0.75,0.78,0.69,0.10,0.43,0.80
,594939,0.75,0.58,0.60,0.77,0.83,0.65,0.31,0.66,0.75,0.68,0.62,0.65,0.78,0.60,0.98,0.85,0.69,0.13,0.31,0.85
,578085,0.70,0.58,0.74,0.75,0.75,0.83,0.33,0.98,0.63,0.73,0.50,0.80,0.77,0.50,0.65,0.75,0.69,0.14,0.33,0.83
,578698,0.73,0.58,0.60,0.70,0.78,0.60,0.43,0.66,0.98,0.63,0.60,0.63,0.75,0.57,0.77,0.75,0.67,0.10,0.43,0.78
,589028,0.68,0.55,0.74,0.75,0.68,0.88,0.28,0.80,0.62,0.68,0.47,0.97,0.68,0.48,0.65,0.73,0.67,0.15,0.28,0.88
,565631,0.68,0.56,0.72,0.75,0.68,0.97,0.26,0.83,0.58,0.70,0.47,0.88,0.67,0.47,0.65,0.73,0.66,0.16,0.26,0.88
,581952,0.67,0.55,0.65,0.70,0.72,0.72,0.31,0.75,0.62,0.98,0.50,0.70,0.70,0.48,0.68,0.73,0.65,0.12,0.31,0.75
,556505,0.67,0.49,0.96,0.67,0.67,0.72,0.26,0.73,0.58,0.63,0.42,0.73,0.63,0.43,0.57,0.65,0.61,0.14,0.26,0.73
,592166,0.60,0.64,0.42,0.53,0.53,0.47,0.65,0.51,0.55,0.48,0.60,0.48,0.65,0.98,0.60,0.60,0.58,0.07,0.42,0.65
,585660,0.52,0.49,0.44,0.57,0.62,0.47,0.50,0.51,0.58,0.50,1.00,0.47,0.62,0.60,0.63,0.57,0.57,0.06,0.44,0.63
,556033,0.53,1.00,0.46,0.50,0.53,0.53,0.48,0.56,0.52,0.50,0.45,0.52,0.52,0.58,0.53,0.55,0.55,0.04,0.45,0.58
,575760,0.40,0.49,0.25,0.37,0.33,0.25,1.00,0.32,0.40,0.30,0.47,0.27,0.35,0.60,0.30,0.33,0.40,0.10,0.25,0.60
